Date,facility_name,Malaria_cases_OPD
1/1/2022,Agahabwa CS,141
1/1/2022,Arusha CS,0
1/1/2022,Avega Clinic,1
1/1/2022,Avega Rwamagana CS,16
1/1/2022,Bethsaida CS,27
1/1/2022,Bien Naitre CLIN,0
1/1/2022,Bigogwe CS,2
1/1/2022,Bigugu CS,2
1/1/2022,Biguhu CS,12
1/1/2022,Birambo CS,5
1/1/2022,Birembo CS,4
1/1/2022,Biruyi CS,6
1/1/2022,Biryogo CS,60
1/1/2022,Bisate CS,0
1/1/2022,Bisesero (karongi) CS,9
1/1/2022,Bitenga CS,0
1/1/2022,Bubangu CS,6
1/1/2022,Bubazi CS,0
1/1/2022,Bugaragara CS,81
1/1/2022,Bugarama (rusizi) CS,22
1/1/2022,Bugarura CS,4
1/1/2022,Bugesera Prison,0
1/1/2022,Bugeshi CS,12
1/1/2022,Buhabwa CS,82
1/1/2022,Bukora CS,16
1/1/2022,Bumbogo (ex-Gikomero I) CS,448
1/1/2022,Bungwe (burera) CS,14
1/1/2022,Buramba CS,1
1/1/2022,Burega CS,34
1/1/2022,Buruhukiro CS,3
1/1/2022,Busanza CS,190
1/1/2022,Busasamana CS,3
1/1/2022,Busengo CS,3
1/1/2022,Bushara CS,1
1/1/2022,Bushenge CS,3
1/1/2022,Bushenge PH,0
1/1/2022,Bushoka CS,5
1/1/2022,Busigari CS,12
1/1/2022,Busogo CS,1
1/1/2022,Busoro-gishamvu CS,113
1/1/2022,Busoro CS,46
1/1/2022,Butamwa CS,29
1/1/2022,Butare Chu Hnr (huye),0
1/1/2022,Butaro CS,6
1/1/2022,Butaro DH,0
1/1/2022,Buyoga CS,9
1/1/2022,Bweyeye CS,10
1/1/2022,Bwisige CS,4
1/1/2022,Byahi (rubavu) CS,117
1/1/2022,Byimana CS,16
1/1/2022,Byumba CS,2
1/1/2022,Byumba DH,0
1/1/2022,Camp Nyabiheke CS,8
1/1/2022,Caraes Ndera Hnr,0
1/1/2022,Carrefour CLIN,8
1/1/2022,Centre Médical BAHO,2
1/1/2022,CHK(CHUK) HNR,0
1/1/2022,Coko (ruli) CS,1
1/1/2022,Coko CS,192
1/1/2022,Cor-unum CS,84
1/1/2022,Crete Congo Nil CS,8
1/1/2022,CUSP Butare CS,10
1/1/2022,Cyabayaga CS,9
1/1/2022,Cyabingo CS,28
1/1/2022,Cyahinda CS,43
1/1/2022,Cyanika (burera) CS,5
1/1/2022,Cyanika (nyamagabe) CS,458
1/1/2022,Cyaratsi CS,2
1/1/2022,Cyarubare CS,29
1/1/2022,Cyeru CS,78
1/1/2022,Cyimbili CS,48
1/1/2022,Cyivugiza (Nyamasheke) CS,3
1/1/2022,Cyondo CS,1
1/1/2022,Cyumba CS,2
1/1/2022,Dream Medical Center Hospital,0
1/1/2022,Gacuba Ii CS,40
1/1/2022,Gahanga CS,56
1/1/2022,Gahara CS,105
1/1/2022,Gahengeri CS,13
1/1/2022,Gahini CS,1
1/1/2022,Gahini DH,0
1/1/2022,Gahombo CS,15
1/1/2022,Gahunga CS,2
1/1/2022,Gakamba CS,1
1/1/2022,Gakenke CS,7
1/1/2022,Gakoma CS,59
1/1/2022,Gakoma DH,1
1/1/2022,Gakurazo CS,6
1/1/2022,Galien Clin,16
1/1/2022,Gasagara (ex-birehe) CS,231
1/1/2022,Gasange CS,117
1/1/2022,Gasetsa CS,2
1/1/2022,Gashaki CS,4
1/1/2022,Gashanda CS,0
1/1/2022,Gashongora CS,22
1/1/2022,Gashonyi CS,30
1/1/2022,Gashora CS,8
1/1/2022,Gashubi CS,1
1/1/2022,Gasiza (musanze) CS,5
1/1/2022,Gasovu CS,7
1/1/2022,Gatagara (Nyanza) CS,2
1/1/2022,Gataraga (MUSANZE) CS,14
1/1/2022,Gatare (macuba) CS,25
1/1/2022,Gatare (twumba) CS,8
1/1/2022,Gatebe CS,11
1/1/2022,Gatenga CS,14
1/1/2022,Gatonde CS,4
1/1/2022,Gatonde DH,0
1/1/2022,Gatsata CS,50
1/1/2022,Gatsibo CS,3
1/1/2022,Gatunda DH,0
1/1/2022,Gicumbi Prison,0
1/1/2022,Gihara CS,10
1/1/2022,Giheke CS,1
1/1/2022,Gihinga CS,4
1/1/2022,Gihogwe CS,24
1/1/2022,Gihundwe CS,11
1/1/2022,Gihundwe DH,1
1/1/2022,Gikomero (Kabgayi) CS,18
1/1/2022,Gikomero II CS,569
1/1/2022,Gikondo CS,55
1/1/2022,Gikonko (Gisagara) CS,1
1/1/2022,Gikore CS,13
1/1/2022,Gikundamvura CS,59
1/1/2022,Gisagara CS,7
1/1/2022,Gisakura CS,2
1/1/2022,Gisenyi CS,31
1/1/2022,Gisenyi DH,1
1/1/2022,Gishari(Police) CS,14
1/1/2022,Gishubi CS,20
1/1/2022,Gishweru CS,10
1/1/2022,Gisiza CS,4
1/1/2022,Gisovu CS,4
1/1/2022,Gitarama CS,16
1/1/2022,Gitare CS,16
1/1/2022,Gitega (kibangu) CS,28
1/1/2022,Giti CS,1194
1/1/2022,Gitoki CS,3
1/1/2022,Gituku CS,0
1/1/2022,Gituza CS,0
1/1/2022,Gitwe CS,10
1/1/2022,Gitwe DH,0
1/1/2022,Hanika (nyamasheke) CS,97
1/1/2022,Hanika I (NYANZA) CS,14
1/1/2022,Hopital Croix du Sud,0
1/1/2022,Horebu Medical Clin,6
1/1/2022,Humure CS,3
1/1/2022,Huye Police CS,12
1/1/2022,Huye Prison,3
1/1/2022,Igihozo Medical Clin,3
1/1/2022,Islamic (Bugarama) CS,128
1/1/2022,Jali CS,8
1/1/2022,Janja CS,8
1/1/2022,Jarama CS,5
1/1/2022,Jenda (nyamagabe) CS,209
1/1/2022,Jomba CS,1
1/1/2022,Juru CS,8
1/1/2022,Kabari (Rubavu) CS,0
1/1/2022,Kabarondo (kayonza) CS,1
1/1/2022,Kabarore CS,35
1/1/2022,Kabatwa CS,3
1/1/2022,Kabaya CS,6
1/1/2022,Kabaya DH,0
1/1/2022,Kabere CS,3
1/1/2022,Kabgayi CS,18
1/1/2022,Kabgayi DH,0
1/1/2022,Kabilizi CS,28
1/1/2022,Kabona CS,2
1/1/2022,Kabuga (karama Nyagatare) CS,2
1/1/2022,Kabuga (kicukiro) CS,57
1/1/2022,Kabuga (ntamba Kamonyi) CS,6
1/1/2022,Kabusunzu CS,4
1/1/2022,Kabutare DH,0
1/1/2022,Kabuye (kirehe) CS,3
1/1/2022,Kabuye CS,72
1/1/2022,Kacyiru CS,93
1/1/2022,Kacyiru DH,11
1/1/2022,Kaduha CS,70
1/1/2022,Kaduha DH,0
1/1/2022,Kageyo (gatsibo) CS,2
1/1/2022,Kageyo (Ngororero) CS,6
1/1/2022,Kageyo I (Kayonza Gahini) CS,33
1/1/2022,Kagitumba CS,10
1/1/2022,Kagugu CS,54
1/1/2022,Kairos CS,215
1/1/2022,Kajevuba CS,378
1/1/2022,Kamabuye CS,59
1/1/2022,Kamonyi (gacurabwenge) CS,59
1/1/2022,Kamonyi (ruharambuga) CS,7
1/1/2022,Kamubuga CS,3
1/1/2022,Kansi CS,77
1/1/2022,Kanyinya CS,120
1/1/2022,Karama (huye) CS,34
1/1/2022,Karama (Kamonyi) CS,7
1/1/2022,Karama (kayonza) CS,14
1/1/2022,Karambi (nyamasheke) CS,8
1/1/2022,Karambi (ruhango) CS,5
1/1/2022,Karambo (gakenke) CS,6
1/1/2022,Karambo (rubavu) CS,10
1/1/2022,Karangara CS,0
1/1/2022,Karangazi CS,92
1/1/2022,Kareba CS,0
1/1/2022,Karenge CS,5
1/1/2022,Karengera CS,43
1/1/2022,Karongi (gisunzu) Police CS,0
1/1/2022,Karora CS,89
1/1/2022,Karumbi CS,1
1/1/2022,Karwasa CS,5
1/1/2022,Katabagemu CS,3
1/1/2022,Kayanga CS,532
1/1/2022,Kayenzi CS,6
1/1/2022,Kayove CS,6
1/1/2022,Kayumbu CS,6
1/1/2022,Kibagabaga DH,0
1/1/2022,Kibayi CS,24
1/1/2022,Kibeho CS,32
1/1/2022,Kibilizi (gisagara) CS,10
1/1/2022,Kibilizi (nyanza) CS,18
1/1/2022,Kibilizi DH,0
1/1/2022,Kibingo (nyamasheke) CS,86
1/1/2022,Kibingo (rutsiro) CS,712
1/1/2022,Kibirizi (Nyamagabe) CS,622
1/1/2022,Kibogora CS,19
1/1/2022,Kibogora DH,1
1/1/2022,Kibondo CS,3
1/1/2022,Kibumbwe CS,218
1/1/2022,Kibungo CS,2
1/1/2022,Kibungo RH,0
1/1/2022,Kibuye CS,29
1/1/2022,Kibuye RH,2
1/1/2022,Kicukiro CS,126
1/1/2022,Kigarama CS,26
1/1/2022,Kigembe CS,65
1/1/2022,Kigeme CS,62
1/1/2022,Kigeme DH,4
1/1/2022,Kigeme Refugee Camp CS,8
1/1/2022,Kigese CS,59
1/1/2022,Kigina CS,4
1/1/2022,Kigogo CS,4
1/1/2022,Kigoma CS,5
1/1/2022,Kigufi CS,225
1/1/2022,Kimonyi CS,10
1/1/2022,Kinazi CS,46
1/1/2022,King Faisal Hospital HNR,0
1/1/2022,Kinigi CS,3
1/1/2022,Kinihira (rulindo) CS,1
1/1/2022,Kinihira (rutsiro) CS,2
1/1/2022,Kinihira PH,0
1/1/2022,Kinini CS,3
1/1/2022,Kinoni CS,7
1/1/2022,Kintobo CS,2
1/1/2022,Kinunu CS,46
1/1/2022,Kinyababa CS,7
1/1/2022,Kinyamakara CS,506
1/1/2022,Kinyinya CS,39
1/1/2022,Kirambi CS,114
1/1/2022,Kirambo (burera) CS,2
1/1/2022,Kirambo (gitesi) CS,4
1/1/2022,Kirarambogo CS,28
1/1/2022,Kirehe CS,4
1/1/2022,Kirehe DH,0
1/1/2022,Kirinda CS,19
1/1/2022,Kirinda DH,0
1/1/2022,Kirwa CS,1
1/1/2022,Kisaro CS,12
1/1/2022,Kitabi CS,13
1/1/2022,Kivu CS,7
1/1/2022,Kivumu (muhanga) CS,3
1/1/2022,Kivumu (rutsiro) CS,63
1/1/2022,Kivuye CS,5
1/1/2022,Kiyanza CS,304
1/1/2022,Kiziba Camp CS,10
1/1/2022,Kizibere CS,42
1/1/2022,Kiziguro (gatsibo) CS,5
1/1/2022,Kiziguro DH,0
1/1/2022,Kora CS,0
1/1/2022,La Médicale (Kwa Kanimba) CLIN,8
1/1/2022,Legacy Clin,0
1/1/2022,Mahama CS,20
1/1/2022,Mahama Refugee Camp CS,21
1/1/2022,Mahama Refugee Camp II CS,86
1/1/2022,Mahembe CS,26
1/1/2022,Manyagiro CS,6
1/1/2022,Maraba (huye) CS,121
1/1/2022,Maraba (nyaruguru) CS,77
1/1/2022,Mareba CS,4
1/1/2022,Marembo CS,0
1/1/2022,Masaka CS,37
1/1/2022,Masaka DH,4
1/1/2022,Mashesha CS,30
1/1/2022,Masoro CS,29
1/1/2022,Mata CS,8
1/1/2022,Mataba CS,117
1/1/2022,Matimba CS,60
1/1/2022,Matyazo CS,4
1/1/2022,Mayange (bugesera) CS,10
1/1/2022,Mbazi CS,4
1/1/2022,MBC Hospital,12
1/1/2022,Mbuga CS,22
1/1/2022,Mbuye CS,6
1/1/2022,Mibilizi CS,6
1/1/2022,Mibilizi DH,0
1/1/2022,Mimuri CS,2
1/1/2022,Minazi CS,11
1/1/2022,Miyove CS,4
1/1/2022,Mont Cyangugu CS,153
1/1/2022,Mpembe CS,65
1/1/2022,Mubuga CS,58
1/1/2022,Mucaca CS,5
1/1/2022,Mucubira CS,50
1/1/2022,Mudende CS,3
1/1/2022,Mugano CS,107
1/1/2022,Muganza CS,6
1/1/2022,Mugera CS,0
1/1/2022,Mugina CS,88
1/1/2022,Mugombwa CS,19
1/1/2022,Mugombwa Refugee Camp CS,11
1/1/2022,Mugonero CS,12
1/1/2022,Mugonero DH,3
1/1/2022,Muhambo CS,0
1/1/2022,Muhanga Prison,3
1/1/2022,Muhima CS,57
1/1/2022,Muhima DH,3
1/1/2022,Muhondo (gakenke) CS,43
1/1/2022,Muhondo (kageyo) CS,46
1/1/2022,Muhororo CS,23
1/1/2022,Muhororo DH,1
1/1/2022,Muhoza (Ruhengeri) CS,15
1/1/2022,Muhura CS,8
1/1/2022,Mukarange (Gicumbi) CS,0
1/1/2022,Mukarange CS,4
1/1/2022,Muko CS,4
1/1/2022,Mukoma (nyamasheke) CS,30
1/1/2022,Mukoma (ruhango) CS,18
1/1/2022,Mukono CS,1
1/1/2022,Mukungu CS,5
1/1/2022,Mukura (Huye) CS,113
1/1/2022,Mukura (Rutsiro) CS,6
1/1/2022,Mulindi (gicumbi) CS,6
1/1/2022,Mulindi (kirehe) CS,3
1/1/2022,Munanira CS,9
1/1/2022,Munini (nyaruguru) CS,61
1/1/2022,Munini DH,3
1/1/2022,Munyaga CS,3
1/1/2022,Munyiginya CS,6
1/1/2022,Munyinya CS,9
1/1/2022,Munzanga CS,23
1/1/2022,Muramba CS,6
1/1/2022,Murambi (Rutongo) CS,27
1/1/2022,Murambi (rwamagana) CS,0
1/1/2022,Murandi CS,4
1/1/2022,Murara CS,29
1/1/2022,Muremure CS,1
1/1/2022,Murunda CS,14
1/1/2022,Murunda DH,0
1/1/2022,Musambira CS,17
1/1/2022,Musango CS,2
1/1/2022,Musanze CS,2
1/1/2022,Musanze Prison,0
1/1/2022,Musasa CS,187
1/1/2022,Musaza CS,40
1/1/2022,Musebeya CS,3
1/1/2022,Musenyi (gicumbi) CS,52
1/1/2022,Musha (gisagara) CS,7
1/1/2022,Musha (rwamagana) CS,6
1/1/2022,Mushaka CS,39
1/1/2022,Mushikiri CS,1
1/1/2022,Mushishiro CS,7
1/1/2022,Mushongi CS,0
1/1/2022,Mushubati CS,119
1/1/2022,Mushubi CS,20
1/1/2022,Mutenderi CS,5
1/1/2022,Mututu CS,25
1/1/2022,Muyange CS,41
1/1/2022,Muyanza CS,31
1/1/2022,Muyongwe CS,21
1/1/2022,Muyumbu CS,16
1/1/2022,Muyunzwe CS,12
1/1/2022,Mwendo (Gitwe) CS,9
1/1/2022,Mwendo (karongi) CS,7
1/1/2022,Mwendo (nyarugenge) CS,160
1/1/2022,Mweya CS,12
1/1/2022,Mwezi CS,6
1/1/2022,Mwiyanike CS,1
1/1/2022,Mwogo CS,4
1/1/2022,Nasho CS,7
1/1/2022,Ndama (nyagatare) CS,131
1/1/2022,Ndego CS,19
1/1/2022,Ndongozi CS,3
1/1/2022,Nduba CS,53
1/1/2022,Nemba CS,3
1/1/2022,Nemba DH,0
1/1/2022,Ngange CS,11
1/1/2022,Nganzo CS,9
1/1/2022,Ngara CS,89
1/1/2022,Ngarama CS,3
1/1/2022,Ngarama DH,0
1/1/2022,Ngera CS,152
1/1/2022,Ngeruka CS,35
1/1/2022,Ngoma CS,556
1/1/2022,Ngoma Prison,1
1/1/2022,Nkanka CS,11
1/1/2022,Nkombo CS,27
1/1/2022,Nkungu CS,3
1/1/2022,Ntaganzwa CS,12
1/1/2022,Ntarama CS,117
1/1/2022,Ntaruka (kinoni Burera) CS,3
1/1/2022,Ntaruka (nasho Kirehe) CS,1
1/1/2022,Ntobwe CS,7
1/1/2022,Ntoma CS,25
1/1/2022,Ntyazo CS,8
1/1/2022,Nyabikenke CS,23
1/1/2022,Nyabimata CS,11
1/1/2022,Nyabinoni CS,1
1/1/2022,Nyabinyenga CS,12
1/1/2022,Nyabirasi CS,0
1/1/2022,Nyabitare (kirehe) CS,0
1/1/2022,Nyabitimbo CS,4
1/1/2022,Nyacyonga CS,38
1/1/2022,Nyagahanga CS,6
1/1/2022,Nyagahita CS,0
1/1/2022,Nyagasambu CS,96
1/1/2022,Nyagatare CS,41
1/1/2022,Nyagatare DH,2
1/1/2022,Nyagatare Prison,0
1/1/2022,Nyagihamba CS,31
1/1/2022,Nyagihanga CS,0
1/1/2022,Nyakabungo CS,7
1/1/2022,Nyakabuye CS,6
1/1/2022,Nyakaliro CS,12
1/1/2022,Nyakarenzo CS,93
1/1/2022,Nyakigando (Nyagatare) CS,2
1/1/2022,Nyakigezi CS,7
1/1/2022,Nyakiliba CS,2
1/1/2022,Nyakinama CS,37
1/1/2022,Nyakiriba CS,1
1/1/2022,Nyamagabe CS,590
1/1/2022,Nyamagabe Prison,2
1/1/2022,Nyamasheke CS,200
1/1/2022,Nyamata CS,72
1/1/2022,Nyamata DH,2
1/1/2022,Nyamirama CS,9
1/1/2022,Nyamiyaga (Gicumbi) CS,10
1/1/2022,Nyamiyaga (Kamonyi) CS,95
1/1/2022,Nyamiyaga (Nyanza) CS,8
1/1/2022,Nyamugali CS,6
1/1/2022,Nyamure CS,21
1/1/2022,Nyamyumba CS,9
1/1/2022,Nyange (Musanze) CS,4
1/1/2022,Nyange (ruli) CS,55
1/1/2022,Nyange A CS,63
1/1/2022,Nyange B CS,224
1/1/2022,Nyange CS,0
1/1/2022,Nyantanga CS,519
1/1/2022,Nyanza CS,4
1/1/2022,Nyanza DH,0
1/1/2022,Nyanza Prison,0
1/1/2022,Nyarubuye (kirehe) CS,0
1/1/2022,Nyarugenge CS,167
1/1/2022,Nyarugenge Prison,0
1/1/2022,Nyarugunga CS,69
1/1/2022,Nyarurama CS,7
1/1/2022,Nyarurema CS,4
1/1/2022,Nyarurenzi CS,14
1/1/2022,Nyarusange (muhanga) CS,17
1/1/2022,Nyarusange (nyanza) CS,7
1/1/2022,Nyarusiza CS,416
1/1/2022,Nyarwungo CS,39
1/1/2022,Nyundo (gakenke) CS,79
1/1/2022,Nyundo (rubavu) CS,20
1/1/2022,Nzangwa CS,93
1/1/2022,Nzige CS,4
1/1/2022,Polyclin Saint Jean CLIN,5
1/1/2022,Polyclinique de l'Etoile,6
1/1/2022,Polyclinique Familiale Clin,38
1/1/2022,Polyclinique Medico Sociale,17
1/1/2022,Ramba CS,1
1/1/2022,Rambura CS,1
1/1/2022,Rangiro CS,11
1/1/2022,Rango CS,36
1/1/2022,Remera-mbogo CS,9
1/1/2022,Remera (Gasabo) CS,54
1/1/2022,Remera (Ngoma) CS,0
1/1/2022,Remera Rukoma CS,11
1/1/2022,Remera Rukoma DH,0
1/1/2022,Rilima CS,8
1/1/2022,Rubavu Prison,0
1/1/2022,Rubaya (gicumbi) CS,4
1/1/2022,Rubaya (ngororera) CS,2
1/1/2022,Rubengera CS,16
1/1/2022,Rubona (huye) CS,20
1/1/2022,Rubona (ngoma) CS,0
1/1/2022,Rubona (ngororera) CS,42
1/1/2022,Rubona (rwamagana) CS,0
1/1/2022,Rubungo CS,142
1/1/2022,Rufungo CS,6
1/1/2022,Rugabano CS,4
1/1/2022,Rugarama (gatsibo) CS,12
1/1/2022,Rugarama (nyarugenge) CS,52
1/1/2022,Rugarama CS,10
1/1/2022,Rugege CS,1
1/1/2022,Rugendabali CS,9
1/1/2022,Ruhango (RONGI) HP,8
1/1/2022,Ruhango CS,23
1/1/2022,Ruhango PH,0
1/1/2022,Ruhashya CS,19
1/1/2022,Ruhenda CS,0
1/1/2022,Ruhengeri RH,3
1/1/2022,Ruheru (kanjongo Nyamasheke) CS,5
1/1/2022,Ruheru CS,5
1/1/2022,Ruhombo CS,3
1/1/2022,Ruhuha CS,19
1/1/2022,Ruhunda CS,3
1/1/2022,Ruhunde CS,0
1/1/2022,Rukara CS,6
1/1/2022,Rukira CS,5
1/1/2022,Rukoma Sake CS,0
1/1/2022,Rukomo CS,2
1/1/2022,Rukozo CS,5
1/1/2022,Rukumberi CS,3
1/1/2022,Rukura CS,3
1/1/2022,Ruli CS,53
1/1/2022,Ruli DH,0
1/1/2022,Rulindo CS,6
1/1/2022,Runyombyi CS,118
1/1/2022,Ruramba CS,83
1/1/2022,Ruramira CS,0
1/1/2022,Rurembo CS,4
1/1/2022,Rurenge CS,3
1/1/2022,Rusasa CS,5
1/1/2022,Rusatira-kinazi CS,3
1/1/2022,Rushaki CS,2
1/1/2022,Rushashi CS,4
1/1/2022,Rusizi Prison,4
1/1/2022,Rusoro CS,9
1/1/2022,Rusumo CS,8
1/1/2022,Rususa CS,18
1/1/2022,Rutake CS,4
1/1/2022,Rutare (Gicumbi) CS,118
1/1/2022,Rutare (kayonza) CS,18
1/1/2022,Rutenderi CS,3
1/1/2022,Rutobwe CS,19
1/1/2022,Rutonde CS,18
1/1/2022,Rutongo DH,1
1/1/2022,Rutsiro CS,5
1/1/2022,Ruvune CS,1
1/1/2022,Ruyenzi CS,3
1/1/2022,Rwahi CS,72
1/1/2022,Rwamagana CS,17
1/1/2022,Rwamagana PH,0
1/1/2022,Rwamagana Prison,3
1/1/2022,Rwampara CS,95
1/1/2022,Rwanda Military Hospital,0
1/1/2022,Rwanda Women's Network CS,21
1/1/2022,Rwaniro CS,606
1/1/2022,Rwankeri CS,0
1/1/2022,Rwankuba CS,25
1/1/2022,Rwantonde CS,49
1/1/2022,Rwaza CS,84
1/1/2022,Rwempasha CS,49
1/1/2022,Rwerere CS,5
1/1/2022,Rwesero CS,71
1/1/2022,Rwimbogo CS,92
1/1/2022,Rwimitereri CS,2
1/1/2022,Rwinkwavu CS,7
1/1/2022,Rwinkwavu DH,0
1/1/2022,Rwinzuki CS,80
1/1/2022,Ryamanyoni CS,11
1/1/2022,Saint Therese (Rwamagana) Clin,0
1/1/2022,Salem Clin,2
1/1/2022,Sangaza CS,0
1/1/2022,Save CS,3
1/1/2022,Shaba (nyamagabe) CS,12
1/1/2022,Shagasha CS,3
1/1/2022,Shingiro CS,1
1/1/2022,Shyira CS,0
1/1/2022,Shyira DH,0
1/1/2022,Shyogwe CS,24
1/1/2022,Shyorongi CS,25
1/1/2022,Simbi CS,17
1/1/2022,Solace Ministries CS,223
1/1/2022,Sovu (Huye) CS,16
1/1/2022,Sovu (Ngororero) CS,4
1/1/2022,St. Francois Rusizi CS,64
1/1/2022,Tabagwe CS,35
1/1/2022,Tanda CS,824
1/1/2022,Tare CS,7
1/1/2022,Tumba CS,6
1/1/2022,Uwinkingi CS,9
1/1/2022,WE ACT For Hope Clin,0
1/1/2022,Yove CS,6
1/1/2022,Zaza CS,1
1/2/2022,Agahabwa CS,107
1/2/2022,Arusha CS,0
1/2/2022,Avega Clinic,1
1/2/2022,Avega Rwamagana CS,3
1/2/2022,Bethsaida CS,51
1/2/2022,Bien Naitre CLIN,1
1/2/2022,Bigogwe CS,1
1/2/2022,Bigugu CS,2
1/2/2022,Biguhu CS,11
1/2/2022,Birambo CS,2
1/2/2022,Birembo CS,2
1/2/2022,Biruyi CS,8
1/2/2022,Biryogo CS,67
1/2/2022,Bisate CS,0
1/2/2022,Bisesero (karongi) CS,3
1/2/2022,Bitenga CS,0
1/2/2022,Bubangu CS,17
1/2/2022,Bubazi CS,0
1/2/2022,Bugaragara CS,57
1/2/2022,Bugarama (rusizi) CS,27
1/2/2022,Bugarura CS,4
1/2/2022,Bugesera Prison,0
1/2/2022,Bugeshi CS,15
1/2/2022,Buhabwa CS,26
1/2/2022,Bukora CS,12
1/2/2022,Bumbogo (ex-Gikomero I) CS,479
1/2/2022,Bungwe (burera) CS,3
1/2/2022,Buramba CS,2
1/2/2022,Burega CS,14
1/2/2022,Buruhukiro CS,3
1/2/2022,Busanza CS,100
1/2/2022,Busasamana CS,15
1/2/2022,Busengo CS,2
1/2/2022,Bushara CS,8
1/2/2022,Bushenge CS,4
1/2/2022,Bushenge PH,0
1/2/2022,Bushoka CS,12
1/2/2022,Busigari CS,12
1/2/2022,Busogo CS,1
1/2/2022,Busoro-gishamvu CS,149
1/2/2022,Busoro CS,16
1/2/2022,Butamwa CS,8
1/2/2022,Butare Chu Hnr (huye),0
1/2/2022,Butaro CS,7
1/2/2022,Butaro DH,0
1/2/2022,Buyoga CS,2
1/2/2022,Bweyeye CS,14
1/2/2022,Bwisige CS,4
1/2/2022,Byahi (rubavu) CS,83
1/2/2022,Byimana CS,9
1/2/2022,Byumba CS,2
1/2/2022,Byumba DH,0
1/2/2022,Camp Nyabiheke CS,7
1/2/2022,Caraes Ndera Hnr,0
1/2/2022,Carrefour CLIN,4
1/2/2022,Centre Médical BAHO,2
1/2/2022,CHK(CHUK) HNR,0
1/2/2022,Coko (ruli) CS,2
1/2/2022,Coko CS,308
1/2/2022,Cor-unum CS,121
1/2/2022,Crete Congo Nil CS,6
1/2/2022,CUSP Butare CS,7
1/2/2022,Cyabayaga CS,2
1/2/2022,Cyabingo CS,32
1/2/2022,Cyahinda CS,57
1/2/2022,Cyanika (burera) CS,15
1/2/2022,Cyanika (nyamagabe) CS,430
1/2/2022,Cyaratsi CS,5
1/2/2022,Cyarubare CS,11
1/2/2022,Cyeru CS,21
1/2/2022,Cyimbili CS,30
1/2/2022,Cyivugiza (Nyamasheke) CS,1
1/2/2022,Cyondo CS,3
1/2/2022,Cyumba CS,0
1/2/2022,Dream Medical Center Hospital,0
1/2/2022,Gacuba Ii CS,27
1/2/2022,Gahanga CS,19
1/2/2022,Gahara CS,36
1/2/2022,Gahengeri CS,6
1/2/2022,Gahini CS,2
1/2/2022,Gahini DH,0
1/2/2022,Gahombo CS,9
1/2/2022,Gahunga CS,1
1/2/2022,Gakamba CS,1
1/2/2022,Gakenke CS,10
1/2/2022,Gakoma CS,64
1/2/2022,Gakoma DH,1
1/2/2022,Gakurazo CS,5
1/2/2022,Galien Clin,24
1/2/2022,Gasagara (ex-birehe) CS,127
1/2/2022,Gasange CS,140
1/2/2022,Gasetsa CS,0
1/2/2022,Gashaki CS,5
1/2/2022,Gashanda CS,0
1/2/2022,Gashongora CS,5
1/2/2022,Gashonyi CS,29
1/2/2022,Gashora CS,2
1/2/2022,Gashubi CS,1
1/2/2022,Gasiza (musanze) CS,1
1/2/2022,Gasovu CS,4
1/2/2022,Gatagara (Nyanza) CS,5
1/2/2022,Gataraga (MUSANZE) CS,17
1/2/2022,Gatare (macuba) CS,34
1/2/2022,Gatare (twumba) CS,7
1/2/2022,Gatebe CS,9
1/2/2022,Gatenga CS,18
1/2/2022,Gatonde CS,7
1/2/2022,Gatonde DH,0
1/2/2022,Gatsata CS,60
1/2/2022,Gatsibo CS,1
1/2/2022,Gatunda DH,0
1/2/2022,Gicumbi Prison,0
1/2/2022,Gihara CS,13
1/2/2022,Giheke CS,3
1/2/2022,Gihinga CS,4
1/2/2022,Gihogwe CS,26
1/2/2022,Gihundwe CS,5
1/2/2022,Gihundwe DH,0
1/2/2022,Gikomero (Kabgayi) CS,9
1/2/2022,Gikomero II CS,421
1/2/2022,Gikondo CS,54
1/2/2022,Gikonko (Gisagara) CS,4
1/2/2022,Gikore CS,25
1/2/2022,Gikundamvura CS,44
1/2/2022,Gisagara CS,0
1/2/2022,Gisakura CS,6
1/2/2022,Gisenyi CS,13
1/2/2022,Gisenyi DH,1
1/2/2022,Gishari(Police) CS,0
1/2/2022,Gishubi CS,33
1/2/2022,Gishweru CS,9
1/2/2022,Gisiza CS,2
1/2/2022,Gisovu CS,4
1/2/2022,Gitarama CS,18
1/2/2022,Gitare CS,10
1/2/2022,Gitega (kibangu) CS,55
1/2/2022,Giti CS,694
1/2/2022,Gitoki CS,0
1/2/2022,Gituku CS,0
1/2/2022,Gituza CS,0
1/2/2022,Gitwe CS,0
1/2/2022,Gitwe DH,0
1/2/2022,Hanika (nyamasheke) CS,62
1/2/2022,Hanika I (NYANZA) CS,3
1/2/2022,Hopital Croix du Sud,0
1/2/2022,Horebu Medical Clin,4
1/2/2022,Humure CS,0
1/2/2022,Huye Police CS,5
1/2/2022,Huye Prison,7
1/2/2022,Igihozo Medical Clin,2
1/2/2022,Islamic (Bugarama) CS,152
1/2/2022,Jali CS,3
1/2/2022,Janja CS,7
1/2/2022,Jarama CS,3
1/2/2022,Jenda (nyamagabe) CS,299
1/2/2022,Jomba CS,2
1/2/2022,Juru CS,1
1/2/2022,Kabari (Rubavu) CS,0
1/2/2022,Kabarondo (kayonza) CS,1
1/2/2022,Kabarore CS,50
